id,track_name,artist
0c9d85d2-0666-4471-9842-d5a346523f73,Birthday,Katy Perry
3e5da524-7dc7-44b9-abbb-c1a0cad3a496,Domino,Jessie J
1e9fa7a6-e5d8-4df8-be79-c5978d37f55a,Die Young,Ke$ha
00b0f9ec-6bff-449e-98ea-50ac5129f215,What You Waiting For?,Gwen Stefani
3c848550-0f64-4c30-b50a-d750672a2217,Your Love Is My Drug,Ke$ha
79ae7638-afcd-4b94-ac52-37eb33aeefc3,Dancing on My Own,Robyn
feb93955-2724-408c-8444-41f5f20b03ef,Livin' La Vida Loca,Ricky Martin
0d114321-6f8f-4ddc-ad3c-9896d16afc27,It's Raining Men,Geri Halliwell
dc0cce76-0cec-4ffd-b02a-791042c87936,Cool,Gwen Stefani
10b761bb-340d-4b44-8a53-d8851b28940a,Starships,Nicki Minaj
363eb084-5711-4615-a169-50fc3a80e296,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
2ea5e2c3-b89c-49df-9173-0c4f36141d1a,Hero,Mariah Carey
2cbac933-ec0d-43ae-b064-956f0ea9978e,Left Outside Alone,Anastacia
e36f49e9-c215-41f3-8579-3f56481d91a6,She Wolf,Shakira
ced408d9-b686-4aac-89f4-1e778cab0b48,Fantasy,Mariah Carey
31990f0e-a62b-4577-ae31-21af514a5da0,Come & Get It,Selena Gomez
ff9782e3-39da-45b0-b6ad-1e6b9dbc083a,Supermodel (You Better Work),RuPaul
66e342f1-ca85-4576-807d-8e3857d4f142,Call Your Girlfriend,Robyn
e787999f-46f5-4d97-9b46-11a3a9b0a2d5,Say It Right,Nelly Furtado
b4be7f77-bb4d-46ac-931a-1fe0f8b16a9e,Something New,Girls Aloud
7ed638fe-111c-4648-8a9d-eeaa891269ca,Jealous Of My Boogie,RuPaul
f3a04708-8071-47df-8800-023d88bd770f,Maria,Blondie
4fb07e4c-8a52-40e6-9529-bfb0af1e0643,Empire,Shakira
a0842b4a-6b42-4a45-b309-48445b58333c,Don't Hold Your Breath,Nicole Scherzinger
5a4f0636-cb9d-4b73-8dec-44c9a5c433e6,Moving on Up,M People
37cb370f-e715-4278-823f-c5555891e35a,I'm Outta Love,Anastacia
559d6bc0-003c-4aea-bb41-33206279b7aa,Va Va Voom,Nicki Minaj
216b0d95-63eb-4b85-b229-386c81d2434c,All for You,Janet Jackson
18cf702f-47b5-4541-9acf-c1ea315512ff,I'm Like a Bird,Nelly Furtado
0d61ac5f-23ea-4acc-aa2b-8fd60e40f82f,True Colors,Cyndi Lauper
8f2334a3-ead8-4a05-91e3-55ed83a13cab,Poison,Nicole Scherzinger
99d8a9bc-8e9b-4c83-8c8c-7cbd06d2bd8b,Call My Name,Cheryl Cole
